Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0772,Mon Sep 17 18:04:04 +0000 2018,0.929,0.0,0.071,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",University Challenge icons @e_monkman and @Bobby_Seagull road trip around Britain in search of hidden gems of Briti… https://t.co/ehTKqStAoJ,0
0.0,Mon Sep 17 17:04:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Australia has ordered an investigation into the discovery of sewing needles hidden in strawberries.… https://t.co/4VUFTkoOKt,1
0.6996,Mon Sep 17 16:04:02 +0000 2018,0.674,0.0,0.326,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The finalists of the Comedy Wildlife Photography Awards have been announced! 🐿😂
 https://t.co/fB7n9B6ugV https://t.co/rBl2q4QaDa",2
0.0,Mon Sep 17 15:03:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Who knew Paddington had such a foul mouth?! 😱🐻😂 #QI

https://t.co/Si3pPqooX9",3
-0.5574,Mon Sep 17 14:03:05 +0000 2018,0.854,0.146,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The UK's oldest person has seen the outbreak and resolution of two world wars, the sinking of the Titanic, and all… https://t.co/6GLb77FEpO",4
0.4404,Mon Sep 17 13:04:04 +0000 2018,0.791,0.0,0.209,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",This is truly magical: Sue and her underwater wheelchair. (Via @BBCThree) https://t.co/fKFUb94oM3,5
0.7184,Mon Sep 17 12:02:06 +0000 2018,0.708,0.0,0.292,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The Duchess of Sussex has launched her first solo charity project as a royal - a cookbook in support of Grenfell fa… https://t.co/yBj2kdv4rY,6
0.0,Mon Sep 17 11:27:23 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcpress: 🏴󠁧󠁢󠁷󠁬󠁳󠁿 @larrylamb47 leads cast of TV favourites for new drama #PitchingIn on @BBCWales and @BBCOne daytime: https://t.co/Say…,7
0.0,Mon Sep 17 11:03:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🌟🌠✨ The International Dark Sky Association has named Wales as a dark skies world leader... 

https://t.co/6cMHSt3mPT",8
0.0,Mon Sep 17 10:03:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Meet Vera, a 102-year-old Manchester City mascot. 💙️⚽️

https://t.co/TRLp6M4m6G",9
0.0,Mon Sep 17 09:04:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Your week, as told by @louistheroux...

https://t.co/S4y4TzziDY",10
0.5994,Mon Sep 17 08:02:03 +0000 2018,0.755,0.0,0.245,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",This spectacular 'super bloom' has transformed the South African desert. 🌺🌻🌸  https://t.co/CQwGUcetkj https://t.co/XHT1h9ycAV,11
0.5719,Mon Sep 17 07:31:08 +0000 2018,0.802,0.0,0.198,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","✅ Courgetti spaghetti
✅ Chicken kebab wrap
✅ Vegetable curry

These recipes for students are delicious and a doddle… https://t.co/9geDMjS3RJ",12
0.0,Mon Sep 17 07:03:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🌧️ 🤔 This man claims he can control the rain, so @BBCAfrica put him to the test...

https://t.co/FKZTK9Zzoe",13
0.4767,Sun Sep 16 19:17:07 +0000 2018,0.838,0.0,0.162,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Riding on some types of roller-coaster is an effective way of removing kidney stones. 🎢🏥 https://t.co/kpRbQFUbSq https://t.co/cBJWvkx7OZ,14
0.0,Sun Sep 16 17:04:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",From overnight oats to kids' fruit cobbler: here are some quick and simple blackberry recipes.  😍… https://t.co/R3NOxFaED1,15
0.0,Sun Sep 16 16:02:03 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",From Viola Davis to Robert Pattinson: these are the stars who 'regret' their big roles. https://t.co/jfEkKsKryO https://t.co/yD6fxIOBXg,16
0.0,Sun Sep 16 15:03:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""You cannot make clothes without pockets!"" 

Miriam getting a makeover is everything. ❤️️

https://t.co/WfjTPgFROW",17
-0.1531,Sun Sep 16 14:04:05 +0000 2018,0.676,0.176,0.149,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A new scientific study suggests that there are strong similarities between near death experiences and psychedelic d… https://t.co/xgw82FQzeZ,18
0.0,Sun Sep 16 14:01:39 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCSport: We ❤️ Vera! https://t.co/4jTELqBPBv,19
0.0772,Mon Sep 17 18:04:04 +0000 2018,0.929,0.0,0.071,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",University Challenge icons @e_monkman and @Bobby_Seagull road trip around Britain in search of hidden gems of Briti… https://t.co/ehTKqStAoJ,20
