,Latitude,Longitude,City Name,Country,Temperature (F),Humidity %,Cloudiness %,Wind Speed
0,76.28238765611931,-65.18726855565707,narsaq,gl,41.0,65.0,32.0,1.12
1,13.350155417336964,-136.83307269518048,hilo,us,77.74,67.0,20.0,11.41
2,48.991457210244846,58.72078142021897,emba,kz,72.75,68.0,0.0,8.05
3,46.45916944316076,90.4883804010384,altay,cn,40.48,83.0,0.0,2.13
4,-50.54434657428995,143.61878489512162,new norfolk,au,62.6,55.0,20.0,12.75
5,-46.653212192800865,-59.22577710194966,rawson,ar,46.69,79.0,12.0,12.41
6,63.91349600963028,-143.44615613138512,fairbanks,us,53.78,58.0,1.0,3.13
7,-77.45760281284672,-1.8920622605114374,hermanus,za,35.35,98.0,0.0,3.58
8,-0.5331665095915668,93.48758960970429,meulaboh,id,79.45,100.0,68.0,1.9
9,-85.2890076324564,52.04446138391796,port alfred,za,53.26,100.0,0.0,4.36
10,-20.076235029456925,-166.8849436429818,alofi,nu,77.0,73.0,92.0,10.29
11,-37.36935636030919,-173.99875087969036,vaini,to,70.54,94.0,56.0,1.45
12,74.94738251517435,-156.65368719541223,barrow,us,47.86,70.0,92.0,9.4
13,59.81318843083662,-69.45174148420207,iqaluit,ca,41.0,75.0,75.0,4.7
14,28.632682901588225,-105.63759603656838,meoqui,mx,78.8,41.0,20.0,3.36
15,58.561508169887276,156.82608011716218,tigil,ru,61.27,82.0,8.0,4.92
16,-34.47730202795501,119.8887593420327,esperance,au,80.6,94.0,20.0,4.03
17,78.89334410333737,-170.57821567516802,lavrentiya,ru,49.66,97.0,20.0,4.7
18,7.634063887802853,-81.6404380431865,los algarrobos,pa,89.6,33.0,40.0,6.93
19,-65.07319096035346,85.54267031232104,busselton,au,62.89,93.0,92.0,24.49
21,9.212814534669732,-139.04961352239394,atuona,pf,79.18,100.0,36.0,14.88
24,34.30109674052147,43.494205909746455,tikrit,iq,66.67,42.0,0.0,2.57
25,-47.945716081378,73.45712345407907,souillac,mu,61.79,87.0,0.0,6.93
26,-4.05199879034879,-157.59390984412929,faanui,pf,78.01,100.0,32.0,7.38
27,-31.66543148559598,-152.63210308778082,mataura,pf,50.29,92.0,92.0,5.03
29,82.24366070569718,-39.18751011370483,tasiilaq,gl,41.0,86.0,92.0,6.93
31,75.13501055573366,23.669310940179003,havoysund,no,48.2,87.0,0.0,5.82
32,-78.80879817563823,-116.32310673693348,punta arenas,cl,41.0,84.0,0.0,8.05
33,-66.18629746979195,118.32661735626874,albany,au,53.67,69.0,90.0,4.7
34,52.924857218084014,-53.94169505310853,saint anthony,ca,74.28,3.0,1.0,11.41
35,46.8472653448855,-115.08066034295392,orchard homes,us,77.0,19.0,1.0,13.87
36,-8.33030616035451,-84.72591281660527,sechura,pe,66.67,84.0,0.0,10.4
37,-35.728549562640026,12.390995658447991,saldanha,za,58.39,90.0,0.0,5.93
38,-32.54561496623977,65.9847115056736,mahebourg,mu,69.8,68.0,20.0,11.41
42,66.25348292054474,18.78160042036569,kiruna,se,51.8,100.0,92.0,4.7
43,-72.62517466176018,52.825996867003994,east london,za,59.2,100.0,20.0,11.07
45,-74.6300062646164,-140.22369357743935,rikitea,pf,73.24,100.0,92.0,13.42
46,-5.674379694611616,-6.807530829320598,georgetown,sh,75.2,100.0,0.0,2.24
47,-27.791038157213798,-45.96709127478198,florianopolis,br,60.8,93.0,0.0,2.91
48,-3.972161585757462,-103.5486250221531,puerto ayora,ec,73.4,69.0,20.0,16.11
49,72.81792108026724,82.58212172708659,dikson,ru,36.07,100.0,76.0,7.72
52,78.27280908547075,-81.0137868348563,qaanaaq,gl,26.89,100.0,8.0,6.26
54,34.108706875563186,-73.83096937317919,havelock,us,77.95,100.0,1.0,3.36
